Customer_ID,Customer_Name,Birth_Date,Marital_Status,Annual_Income,Total_Children,Education_Level,Occupation,Home_Owner
BB240,Ravinder Bacchi,12-03-1980,M," ? 25,94,581.00 ",0,High School,Skilled Manual,N
BB241,Guman Singh Basyal,26-10-1980,S," ? 26,25,349.00 ",0,High School,Skilled Manual,N
BB242,Raja Kumar,08-09-1980,S," ? 28,35,673.00 ",0,Partial High School,Clerical,N
BB243,Mahabir Prasad,26-02-1946,S," ? 23,12,095.00 ",0,High School,Skilled Manual,Y
BB244,Kartik Kaku,03-11-1979,S," ? 5,43,879.00 ",0,Partial High School,Clerical,N
BB245,Shubham Yadav,26-10-1978,S," ? 9,68,624.00 ",0,High School,Skilled Manual,N
BB246,Pawan Kumar,20-07-1978,M," ? 7,63,266.00 ",0,High School,Skilled Manual,Y
BB247,Pintu Kumar,15-09-1978,M," ? 5,66,433.00 ",0,High School,Skilled Manual,N
BB248,Rishi Kakdia,09-11-1938,S," ? 30,18,104.00 ",0,Partial College,Clerical,N
BB249,Kunal Kannu,11-02-1977,S," ? 10,13,630.00 ",0,Partial High School,Clerical,N
BB250,Arman Ansari,21-06-1977,M," ? 29,60,892.00 ",0,High School,Skilled Manual,N
BB251,Sujen Manjhi,14-08-1977,S," ? 11,30,248.00 ",0,High School,Skilled Manual,N
BB252,Aditya Som,04-02-1977,M," ? 32,67,082.00 ",0,High School,Skilled Manual,Y
BB253,Ravi Kumar,09-09-1979,S," ? 13,01,838.00 ",0,High School,Skilled Manual,N
BB254,Shankar Kumar,08-12-1979,S," ? 19,78,018.00 ",0,High School,Skilled Manual,N
BB255,Nandkishore Karpenter,26-08-1939,S," ? 3,64,556.00 ",0,Bachelors,Management,Y
BB256,Lala Bhai,05-02-1939,M," ? 23,14,062.00 ",2,Graduate Degree,Management,Y
BB257,Kishan Rai,16-08-1941,M," ? 15,09,562.00 ",2,Bachelors,Management,Y
BB258,Mahender Kumar,20-04-1941,M," ? 13,19,599.00 ",2,Bachelors,Management,Y
BB259,Mohd Afzal,15-03-1941,S," ? 8,77,351.00 ",0,Bachelors,Management,Y
BB260,Shiv Prasad Singh,25-02-1942,S," ? 34,90,345.00 ",0,Graduate Degree,Management,N
BB261,Khokan Sarkar,10-01-1976,S," ? 8,79,044.00 ",0,High School,Skilled Manual,Y
BB262,Krisana Braman,23-06-1976,M," ? 28,51,911.00 ",0,High School,Skilled Manual,Y
BB263,Mohd Miraj Ansari,21-08-1976,S," ? 6,12,720.00 ",0,Partial College,Skilled Manual,Y
BB264,Harbir Singh,26-01-1976,S," ? 21,54,212.00 ",0,Partial College,Skilled Manual,N
BB265,Yuvraj Kumar,07-02-1976,S," ? 13,03,904.00 ",0,Partial College,Skilled Manual,N
BB266,Charan Jeet Singh,11-06-1975,M," ? 2,89,458.00 ",0,High School,Skilled Manual,Y
BB267,Satish Kumar,08-10-1975,S," ? 14,21,709.00 ",0,High School,Skilled Manual,Y
BB268,Vivek Sharma,17-09-1975,S," ? 9,93,871.00 ",0,High School,Skilled Manual,N
BB269,Sahil Tigga,08-01-1974,S," ? 21,13,736.00 ",0,Partial College,Skilled Manual,N
BB270,Girishi Chand,22-04-1974,S," ? 29,85,984.00 ",0,Partial College,Skilled Manual,N
BB271,Pavan Sharma,05-03-1974,S," ? 18,92,138.00 ",0,Partial College,Skilled Manual,Y
BB272,Naval Kishore,20-12-1974,M," ? 32,31,813.00 ",0,Partial College,Skilled Manual,Y
BB273,Raman Ralhan,05-05-1974,S," ? 27,45,533.00 ",0,Partial College,Skilled Manual,N
BB274,Prem Chand,18-07-1973,M," ? 18,47,730.00 ",0,Partial College,Skilled Manual,N
BB275,Jang Bahadur,24-04-1972,S," ? 23,36,318.00 ",0,Partial College,Skilled Manual,N
BB276,Om Parkash Ahuja,01-08-1972,S," ? 28,77,950.00 ",0,Bachelors,Management,N
BB277,Kamre Alam,15-05-1968,S," ? 10,57,989.00 ",0,Bachelors,Management,N
BB278,Ram Pyare,22-06-1968,M," ? 33,08,523.00 ",4,Bachelors,Management,Y
BB279,Suraj Singh,05-02-1968,M," ? 6,32,142.00 ",4,Bachelors,Management,Y
BB280,Vikas Gupta,09-10-1967,S," ? 30,70,436.00 ",0,Bachelors,Management,Y
BB281,Vijay Singh,21-11-1967,M," ? 19,02,290.00 ",1,Bachelors,Management,Y
BB282,Hari Ram,01-09-1967,S," ? 10,00,689.00 ",0,Graduate Degree,Management,N
BB283,Manoj Kumar,13-07-1967,M," ? 25,97,334.00 ",0,Graduate Degree,Management,Y
BB284,Parash Das,05-03-1963,S," ? 21,83,645.00 ",0,Partial College,Skilled Manual,Y
BB285,Bhanwar Lal,25-01-1968,M," ? 16,77,793.00 ",4,Bachelors,Management,Y
BB286,Ramkaran Verma,04-07-1942,M," ? 14,97,457.00 ",2,Graduate Degree,Management,Y
BB287,Mukhtyar Hussain,24-08-1943,M," ? 21,84,965.00 ",2,Graduate Degree,Management,Y
BB288,Bilal Malik,14-06-1943,M," ? 28,57,366.00 ",2,Graduate Degree,Management,Y
BB289,Radheshyam Sen,02-01-1943,M," ? 26,53,731.00 ",1,Bachelors,Management,Y
BB290,Jitender Rajak,08-08-1943,M," ? 27,27,990.00 ",2,Graduate Degree,Management,Y
BB291,Raju Singh,25-08-1944,S," ? 5,66,527.00 ",0,Bachelors,Management,Y
BB292,Sobit Saini,15-07-1944,S," ? 33,22,435.00 ",0,Bachelors,Management,Y
BB293,Inder Dutt,16-11-1944,S," ? 14,38,116.00 ",0,Bachelors,Management,Y
BB294,Haseen Ahmed,08-10-1944,S," ? 33,27,011.00 ",0,Bachelors,Management,Y
BB295,Gulam Rashul,21-05-1944,S," ? 29,12,640.00 ",0,Bachelors,Management,Y
BB296,Amit Kumar Yadav,22-02-1944,M," ? 7,26,051.00 ",4,Graduate Degree,Management,Y
BB297,Rajiv Bagoriya,06-09-1944,M," ? 29,41,718.00 ",4,Graduate Degree,Management,N
BB298,Abhinav Chaudhary,22-06-1944,M," ? 24,85,660.00 ",5,Bachelors,Management,Y
BB299,Sanjay Kumar Pappu,18-12-1945,S," ? 34,17,880.00 ",0,Bachelors,Management,Y
BB300,Mushir Ahmed,13-09-1945,M," ? 23,17,588.00 ",4,Bachelors,Management,Y
BB301,Vibhuti Shyamal,13-02-1945,M," ? 34,52,392.00 ",4,Bachelors,Management,Y
BB302,Neeraj Kandari,10-06-1945,M," ? 7,62,593.00 ",4,Bachelors,Management,Y
BB303,Mukul Verma,10-02-1946,M," ? 11,09,729.00 ",5,Bachelors,Management,Y
BB304,Jai Kishan,07-06-1946,M," ? 4,58,521.00 ",5,Bachelors,Management,Y
BB305,Munna Lal Jain,18-06-1946,M," ? 8,97,537.00 ",3,Bachelors,Management,N
BB306,Jai Prakash Kashyap,26-11-1946,S," ? 33,19,258.00 ",0,Bachelors,Management,Y
BB307,Parveen Aggarwal,06-11-1946,M," ? 2,56,403.00 ",4,Bachelors,Management,Y
BB308,Pramod Paswan,22-11-1947,M," ? 4,02,964.00 ",4,Bachelors,Management,Y
BB309,Aaftaab Husan,18-08-1947,M," ? 23,14,904.00 ",4,Bachelors,Management,Y
BB310,Sawan Gupta,26-08-1947,M," ? 2,77,078.00 ",5,Bachelors,Management,N
BB311,Munna Lal,21-08-1948,M," ? 27,52,802.00 ",2,High School,Professional,Y
BB312,Sarvesh Kumar Pandey,24-07-1948,M," ? 12,59,335.00 ",2,High School,Professional,Y
BB313,Sohnal Kumar Singh,24-09-1948,M," ? 25,08,214.00 ",2,Partial College,Professional,Y
BB314,Najar Hussan,19-07-1948,S," ? 28,37,711.00 ",0,Partial College,Professional,Y
BB315,Raman Rancho,04-02-1948,M," ? 25,03,046.00 ",2,Bachelors,Management,Y
BB316,Lavtar Singh,13-01-1948,M," ? 24,28,372.00 ",2,Bachelors,Management,Y
BB317,Nanak Chand,08-06-1948,M," ? 6,61,360.00 ",4,Partial College,Professional,Y
BB318,Harprasad Sahu,12-10-1949,M," ? 9,11,159.00 ",2,High School,Professional,Y
BB319,Vikas Kumar,05-11-1949,M," ? 4,12,879.00 ",2,High School,Professional,Y
BB320,Ashsish Kumar,14-05-1949,S," ? 24,21,462.00 ",0,Partial College,Professional,Y
BB321,Rajesh Singh,07-11-1949,S," ? 4,58,661.00 ",0,Partial College,Professional,Y
BB322,Jalil Ansari,21-06-1950,M," ? 28,54,014.00 ",2,Partial High School,Skilled Manual,Y
BB323,Deepak Verma,20-05-1950,S," ? 13,95,554.00 ",0,Partial College,Professional,Y
BB324,Monu Kumar,11-02-1950,S," ? 27,42,694.00 ",0,Partial College,Professional,Y
BB325,Manish Kumar Saket,11-09-1950,S," ? 33,10,934.00 ",0,Partial College,Professional,N
BB326,Narayan Gadri,02-12-1950,M," ? 28,51,317.00 ",2,High School,Professional,Y
BB327,Lakshman Nath,23-02-1950,M," ? 23,72,149.00 ",2,Partial College,Professional,Y
BB328,Sachin Kumar,10-06-1950,M," ? 4,02,890.00 ",4,Partial College,Professional,Y
BB329,Munna Ravi Jaiswal,17-08-1950,M," ? 24,79,935.00 ",3,Bachelors,Management,Y
BB330,Harish Chand,16-09-1951,S," ? 16,15,135.00 ",0,High School,Professional,Y
BB331,Puneet Jain,06-09-1951,S," ? 18,11,493.00 ",0,High School,Professional,Y
BB332,Amit Kumar Shukla,27-09-1951,M," ? 19,27,257.00 ",2,Partial College,Professional,Y
BB333,Praful Naag,12-08-1951,S," ? 4,72,772.00 ",0,Partial College,Professional,Y
BB334,Tarachand Pappu,19-04-1951,M," ? 18,24,808.00 ",2,Partial College,Professional,Y
BB335,Deepak Rana,03-12-1951,S," ? 25,50,718.00 ",0,Partial College,Professional,Y
BB336,Puran Singh Rastogi,03-04-1951,M," ? 5,28,258.00 ",4,Partial College,Professional,N
BB337,Lal Babu Prasad,14-11-1952,M," ? 10,67,330.00 ",2,High School,Professional,Y
BB338,Lal Chand,27-09-1952,M," ? 30,80,754.00 ",3,High School,Professional,N
BB339,Kiran Pal,09-09-1952,M," ? 9,38,320.00 ",4,Partial College,Professional,Y
BB340,Ranveer Singh,19-11-1952,S," ? 33,32,952.00 ",0,Partial College,Professional,Y
BB341,Raj Kumar Raju,08-02-1952,M," ? 6,92,269.00 ",4,Partial College,Professional,Y
BB342,Laxmikant Kaka,05-03-1952,S," ? 11,28,587.00 ",0,Partial College,Professional,Y
BB343,Narayan Parsad Bhushal,23-09-1958,S," ? 13,37,808.00 ",0,Bachelors,Management,N
BB344,Hukum Chand,10-08-1958,S," ? 22,23,644.00 ",0,Bachelors,Management,N
BB345,Pappu Mahender Singh,06-10-1958,M," ? 30,23,758.00 ",2,Partial College,Professional,N
BB346,Akash Tomer,11-12-1958,M," ? 14,25,627.00 ",2,Partial College,Professional,Y
BB347,Mahesh Chand Tiwari,11-10-1957,S," ? 27,97,499.00 ",0,Partial College,Professional,Y
BB348,Gajender Kumar,11-11-1957,M," ? 23,31,315.00 ",2,Partial College,Professional,Y
BB349,Bhanwar Singh,09-10-1957,M," ? 2,57,530.00 ",2,Partial College,Professional,Y
BB350,Surender Sain,26-11-1957,S," ? 25,77,842.00 ",0,Bachelors,Management,N
BB351,Akshay Kumar,27-10-1956,M," ? 26,06,757.00 ",3,High School,Professional,N
BB352,Satyender Kalu,06-06-1956,S," ? 20,62,242.00 ",0,Partial College,Professional,N
BB353,Ankush Shera,26-03-1955,M," ? 34,40,303.00 ",3,Partial College,Professional,Y
BB354,Bhavesh Dass,13-07-1955,M," ? 32,59,452.00 ",3,Partial College,Professional,Y
BB355,Guddu Rai,12-03-1955,M," ? 9,72,925.00 ",3,High School,Professional,Y
BB356,Yogesh Rawat,04-07-1932,S," ? 13,40,383.00 ",0,High School,Professional,N
BB357,Rajesh Agarwal,07-06-1932,S," ? 30,58,696.00 ",0,Graduate Degree,Management,Y
BB358,Tara Singh Rawat,28-02-1933,M," ? 23,15,330.00 ",2,Graduate Degree,Management,Y
BB359,Parnav Kumar,03-03-1933,M," ? 18,01,545.00 ",4,Graduate Degree,Management,Y
BB360,Ajay Haldar,04-04-1933,M," ? 30,13,907.00 ",4,Graduate Degree,Management,Y
BB361,Gaurav Sethi,20-09-1933,M," ? 3,34,595.00 ",4,Graduate Degree,Management,Y
BB362,Parth Madan,06-01-1933,S," ? 23,73,975.00 ",0,Graduate Degree,Management,Y
BB363,Pawan Kumar Sonu,28-06-1933,M," ? 14,86,488.00 ",1,Graduate Degree,Management,Y
BB364,Raju Garg,27-03-1965,M," ? 21,55,183.00 ",4,Partial College,Professional,Y
BB365,Samir Mishra,12-04-1965,M," ? 24,19,821.00 ",2,Bachelors,Management,Y
BB366,Ram Dayal,24-04-1965,M," ? 30,43,242.00 ",1,Graduate Degree,Management,Y
BB367,Jagdish Chand,04-05-1964,M," ? 11,37,912.00 ",4,Bachelors,Management,Y
BB368,Pardeep Kumar,11-09-1964,M," ? 12,84,589.00 ",5,Partial College,Professional,Y
BB369,Deepak Goyal,17-06-1964,S," ? 8,27,113.00 ",0,Partial College,Professional,N
BB370,Sunil Ladkani,13-07-1964,M," ? 27,48,111.00 ",5,Partial College,Professional,Y
BB371,Indra Sain,05-05-1964,S," ? 5,75,223.00 ",0,Partial College,Professional,N
BB372,Arun Kumar,02-10-1964,S," ? 23,44,104.00 ",0,Partial College,Professional,Y
BB373,Ashok Sharma,03-05-1964,M," ? 4,18,783.00 ",2,Graduate Degree,Management,Y
BB374,Veer Singh,13-10-1964,M," ? 24,26,797.00 ",2,Graduate Degree,Management,Y
BB375,Aman Dahiya,04-05-1964,M," ? 32,49,047.00 ",2,Graduate Degree,Management,Y
BB376,Laxmi Narayan,05-06-1964,S," ? 34,63,453.00 ",0,Bachelors,Management,N
BB377,Vikram Dubey,10-11-1956,S," ? 21,57,990.00 ",0,Partial College,Professional,Y
BB378,Ramjan Khan,01-10-1956,M," ? 2,98,943.00 ",2,Partial College,Professional,Y
BB379,Alok Tiwari,12-04-1934,M," ? 11,15,834.00 ",2,Graduate Degree,Management,Y
BB380,Vude Bhadur,18-01-1934,M," ? 33,65,391.00 ",4,Graduate Degree,Management,Y
BB381,Prem Singh Bidla,19-09-1963,M," ? 3,22,236.00 ",4,Partial College,Professional,Y
BB382,Chetanya Swaroop,10-06-1963,M," ? 3,35,147.00 ",4,Partial College,Professional,Y
BB383,Pinkoo Guddu,20-08-1963,S," ? 3,24,455.00 ",0,Partial College,Professional,N
BB384,Henkhochon Haokip,12-09-1963,M," ? 24,83,738.00 ",0,Partial College,Professional,Y
BB385,Gaurav Shankar,21-08-1963,M," ? 12,72,224.00 ",0,Partial College,Professional,Y
BB386,Shsi Kant,10-10-1963,S," ? 16,08,076.00 ",0,Bachelors,Management,Y
